Date,AAPL,MSFT,GOOGL,AMZN,TSLA,JNJ,JPM,NVDA,META,XOM
2018-01-02,40.42682647705078,79.32850646972656,53.340599060058594,59.45050048828125,21.368667602539062,112.88252258300781,87.1520004272461,4.929086208343506,180.43016052246094,60.040225982666016
2018-01-03,40.419776916503906,79.69772338867188,54.250640869140625,60.209999084472656,21.149999618530273,113.96086883544922,87.24081420898438,5.253488540649414,183.66241455078125,61.21943283081055
2018-01-04,40.607540130615234,80.39915466308594,54.46137619018555,60.47949981689453,20.974666595458984,113.9527587890625,88.49060821533203,5.2811808586120605,183.32427978515625,61.30413818359375
2018-01-05,41.069854736328125,81.39596557617188,55.18354034423828,61.457000732421875,21.10533332824707,114.89328002929688,87.9225082397461,5.3259358406066895,185.83053588867188,61.254722595214844
2018-01-08,40.91731262207031,81.4790267944336,55.37837600708008,62.34349822998047,22.42733383178711,115.03919219970703,88.05237579345703,5.489123344421387,187.25270080566406,61.530094146728516
2018-01-09,40.912628173828125,81.42364501953125,55.307804107666016,62.6349983215332,22.246000289916992,116.8634262084961,88.49871063232422,5.48764181137085,186.84495544433594,61.26884460449219
2018-01-10,40.903228759765625,81.0544662475586,55.176090240478516,62.71649932861328,22.31999969482422,116.72557067871094,89.47254943847656,5.530664443969727,186.81512451171875,60.78166198730469
2018-01-11,41.135562896728516,81.29443359375,55.271026611328125,63.83399963378906,22.530000686645508,117.39036560058594,89.95137023925781,5.540553569793701,186.74551391601562,61.381832122802734
2018-01-12,41.56035232543945,82.69730377197266,56.19548034667969,65.26000213623047,22.4146671295166,118.17682647705078,91.43648529052734,5.513355255126953,178.39134216308594,61.798423767089844
2018-01-16,41.349143981933594,81.54364013671875,56.197959899902344,65.24299621582031,22.67066764831543,119.06868743896484,91.11187744140625,5.442391872406006,177.4166717529297,61.41006851196289
2018-01-17,42.03205871582031,83.19573974609375,56.61545944213867,64.75,23.143999099731445,119.16596984863281,91.6961669921875,5.556378364562988,176.6309814453125,62.13736343383789
2018-01-18,42.06962585449219,83.15879821777344,56.45989227294922,64.66600036621094,22.971332550048828,119.11731719970703,91.9153060913086,5.549455165863037,178.81898498535156,61.734867095947266
2018-01-19,41.88188171386719,83.0665283203125,56.83414840698242,64.72899627685547,23.334667205810547,119.47404479980469,91.7124252319336,5.689650535583496,180.30084228515625,61.53717803955078
2018-01-22,41.53923797607422,84.552490234375,57.860992431640625,66.3655014038086,23.437332153320312,120.10649871826172,92.78366088867188,5.778168201446533,184.35861206054688,62.313880920410156
2018-01-23,41.54861068725586,84.82012176513672,58.45790481567383,68.12699890136719,23.519332885742188,114.99053955078125,92.68627166748047,5.9072394371032715,188.31687927246094,62.34918975830078
2018-01-24,40.88680648803711,84.74629974365234,58.215362548828125,67.87550354003906,23.05933380126953,115.18511962890625,93.87113189697266,5.830342769622803,185.5321502685547,62.51158905029297
2018-01-25,40.156925201416016,85.21702575683594,58.75462341308594,68.89749908447266,22.50933265686035,117.0741958618164,93.89549255371094,5.84393835067749,186.4570770263672,62.39861297607422
2018-01-26,40.250816345214844,86.81375885009766,59.02401351928711,70.10250091552734,22.856666564941406,117.82823944091797,94.39863586425781,6.016526222229004,188.9633331298828,62.843467712402344
2018-01-29,39.41767501831055,86.68452453613281,58.9703369140625,70.88400268554688,23.302000045776367,116.49044799804688,94.30123138427734,6.103560447692871,184.96527099609375,62.14442825317383
2018-01-30,39.185340881347656,85.59542846679688,58.517547607421875,71.89099884033203,23.05466651916504,115.47697448730469,93.41665649414062,6.0014424324035645,186.09906005859375,61.27591323852539
2018-01-31,39.29329299926758,87.69056701660156,58.75860595703125,72.54450225830078,23.62066650390625,112.03936767578125,93.87113189697266,6.077597618103027,185.87030029296875,61.6430778503418
2018-02-01,39.37543869018555,86.99833679199219,58.727294921875,69.5,23.28333282470703,113.52304077148438,94.84500122070312,5.946550369262695,192.03646850585938,62.89289093017578
2018-02-02,37.66693878173828,84.70939636230469,55.62638854980469,71.49749755859375,22.916667938232422,111.6258773803711,92.74307250976562,5.773965358734131,189.24180603027344,59.68717575073242
2018-02-05,36.72584533691406,81.2205810546875,52.80282211303711,69.5,22.208667755126953,105.71540832519531,88.29582977294922,5.283900260925293,180.27101135253906,56.29079818725586
2018-02-06,38.26068115234375,84.2940673828125,53.898250579833984,72.14199829101562,22.264667510986328,106.8829116821289,90.98202514648438,5.577641487121582,184.29893493652344,55.32341003417969
2018-02-07,37.441627502441406,82.7065658569336,52.45590591430664,70.83899688720703,23.0,106.55048370361328,91.59883117675781,5.657260417938232,179.1968994140625,54.327816009521484
2018-02-08,36.4113655090332,78.46094512939453,50.08512496948242,67.5250015258789,21.01533317565918,102.44802856445312,87.54920196533203,5.378352165222168,170.6438446044922,53.7135124206543
2018-02-09,36.85672378540039,81.38672637939453,52.001625061035156,66.9800033569336,20.69466781616211,105.01815032958984,89.30213928222656,5.738360404968262,175.14910888671875,54.055908203125
2018-02-12,38.34126281738281,82.2635269165039,52.41366195678711,69.3115005493164,21.048667907714844,105.61809539794922,90.6817626953125,5.638219833374023,175.44747924804688,54.51243209838867
2018-02-13,38.725364685058594,82.90960693359375,52.392784118652344,70.72550201416016,21.577333450317383,105.36678314208984,91.2417221069336,5.751959323883057,172.2052764892578,54.42683410644531
2018-02-14,39.43935012817383,84.20782470703125,53.31524658203125,72.55249786376953,21.487333297729492,105.13165283203125,93.35173797607422,5.96929931640625,178.54052734375,54.54096984863281
